"area","check","outcome","expected","observed","source","note"
"public summaries","CMP membership in figure and scorecard tables","Pass","the same eight CMPs in all six tables","all agree","doc/data/candidates/candidate_quilt_reference_summary.csv; doc/data/candidates/candidate_scorecard_input_reference.csv; doc/data/candidates/candidate_scorecard_result_reference.csv; doc/data/candidates/kobe_reference_periods_summary.csv; doc/data/candidates/vb_reference_summary.csv; doc/data/candidates/vb_robustness_summary.csv",""
"public summaries","scorecard inputs agree with the figure summary","Pass","identical numerical inputs","maximum absolute difference 0e+00","doc/data/candidates/candidate_quilt_reference_summary.csv; doc/data/candidates/candidate_scorecard_input_reference.csv",""
"public summaries","Kobe figure table agrees with the Slick file","Pass","identical period summaries","maximum absolute difference 4.218847e-15","doc/data/candidates/kobe_reference_periods_summary.csv; output/jm_candidates_500.slick",""
"public pages","individual CMP pages use the refined triggers","Pass","current triggers and no earlier trigger values","all agree","doc/cmp/mp29.qmd; doc/cmp/mp32.qmd; doc/cmp/mp43.qmd; doc/cmp/mp44.qmd",""
"published files","all listed files exist","Pass","all present","all present","release/sc14-file-list.csv",""
"published files","listed files match the accepted baseline","Pass","all fingerprints agree","all agree","release/sc14-file-list.csv",""
"published files","published output docs/sc14/index.html","Pass","file exists","present","docs/sc14/index.html",""
"published files","published output docs/sc14/index.pdf","Pass","file exists","present","docs/sc14/index.pdf",""
"published files","published output docs/sc14/decision-paper.html","Pass","file exists","present","docs/sc14/decision-paper.html",""
"published files","published output docs/sc14/decision-paper.pdf","Pass","file exists","present","docs/sc14/decision-paper.pdf",""
"published files","published output docs/evidence/sc14-mse-report.html","Pass","file exists","present","docs/evidence/sc14-mse-report.html",""
"published files","published output docs/evidence/sc14-mse-report.pdf","Pass","file exists","present","docs/evidence/sc14-mse-report.pdf",""
"published files","published output docs/sc14/technical-paper.html","Pass","file exists","present","docs/sc14/technical-paper.html",""
"published files","published output docs/sc14/technical-paper.pdf","Pass","file exists","present","docs/sc14/technical-paper.pdf",""
"published files","published output docs/sc14/review-response.html","Pass","file exists","present","docs/sc14/review-response.html",""
"published files","published output docs/sc14/review-response.pdf","Pass","file exists","present","docs/sc14/review-response.pdf",""
"published files","published output docs/governance/release-check.html","Pass","file exists","present","docs/governance/release-check.html",""
"published files","published output docs/data/release/sc14-run-index.csv","Pass","file exists","present","docs/data/release/sc14-run-index.csv",""
"published files","published output docs/data/release/sc14-file-list.csv","Pass","file exists","present","docs/data/release/sc14-file-list.csv",""
"published files","published output docs/data/release/sc14-check-results.csv","Pass","file exists","present","docs/data/release/sc14-check-results.csv",""
"published files","published output docs/data/release/sc14-check-results.json","Pass","file exists","present","docs/data/release/sc14-check-results.json",""
"published files","superseded filenames are not presented as current","Pass","none","none","release/sc14-mse-2026-rc1.yml","Historical references may remain, but they must be labelled as replaced."
