selection_order,iter,mp,cmp,year,catch
4,308,tun29,HS+20 (MP29),2046,1.01003229189551e-05
4,308,tun29,HS+20 (MP29),2047,1.01218499310376e-05
4,308,tun29,HS+20 (MP29),2048,1.01257299815863e-05
4,308,tun29,HS+20 (MP29),2049,1.01169755544585e-05
4,308,tun29,HS+20 (MP29),2050,1.01000815556884e-05
2,100,tun32,PR+20 (MP32),2026,1177.24999991646
2,100,tun32,PR+20 (MP32),2027,1000.66249819231
2,100,tun32,PR+20 (MP32),2028,850.563124999998
2,100,tun32,PR+20 (MP32),2029,785.4135425776
2,100,tun32,PR+20 (MP32),2030,942.496251093117
2,100,tun32,PR+20 (MP32),2031,1014.97345754388
2,100,tun32,PR+20 (MP32),2032,862.727438912298
2,100,tun32,PR+20 (MP32),2033,733.318323075458
2,100,tun32,PR+20 (MP32),2034,857.255942980361
2,100,tun32,PR+20 (MP32),2035,766.832873565238
2,100,tun32,PR+20 (MP32),2036,651.807942530463
2,100,tun32,PR+20 (MP32),2037,554.036751150908
2,100,tun32,PR+20 (MP32),2038,470.931223880766
2,100,tun32,PR+20 (MP32),2039,400.291551923289
2,100,tun32,PR+20 (MP32),2040,436.998909992735
2,100,tun32,PR+20 (MP32),2041,524.398692099521
2,100,tun32,PR+20 (MP32),2042,629.278430483518
2,100,tun32,PR+20 (MP32),2043,755.134116551998
2,100,tun32,PR+20 (MP32),2044,906.160939548793
2,100,tun32,PR+20 (MP32),2045,1087.39312641236
2,100,tun32,PR+20 (MP32),2046,1304.87174795286
2,100,tun32,PR+20 (MP32),2047,1565.84608403035
2,100,tun32,PR+20 (MP32),2048,1879.01525537479
2,100,tun32,PR+20 (MP32),2049,2254.81839040233
2,100,tun32,PR+20 (MP32),2050,2565.67803302732
3,122,tun32,PR+20 (MP32),2026,1177.24999999925
3,122,tun32,PR+20 (MP32),2027,1000.66249992401
3,122,tun32,PR+20 (MP32),2028,850.563099559618
3,122,tun32,PR+20 (MP32),2029,940.756050021153
3,122,tun32,PR+20 (MP32),2030,1128.90727684018
3,122,tun32,PR+20 (MP32),2031,1354.68876596732
3,122,tun32,PR+20 (MP32),2032,1151.48544988411
3,122,tun32,PR+20 (MP32),2033,978.76263397856
3,122,tun32,PR+20 (MP32),2034,1174.51516062144
3,122,tun32,PR+20 (MP32),2035,1409.41819292909
3,122,tun32,PR+20 (MP32),2036,1559.79210782715
3,122,tun32,PR+20 (MP32),2037,1325.82329294638
3,122,tun32,PR+20 (MP32),2038,1126.94980145611
3,122,tun32,PR+20 (MP32),2039,957.907331237378
3,122,tun32,PR+20 (MP32),2040,848.670560104673
3,122,tun32,PR+20 (MP32),2041,1018.40467219297
3,122,tun32,PR+20 (MP32),2042,1222.08560255925
3,122,tun32,PR+20 (MP32),2043,1466.50272779076
3,122,tun32,PR+20 (MP32),2044,1759.80327338077
3,122,tun32,PR+20 (MP32),2045,1621.31401484219
3,122,tun32,PR+20 (MP32),2046,1625.84591618347
3,122,tun32,PR+20 (MP32),2047,1596.84810592406
3,122,tun32,PR+20 (MP32),2048,1357.32089009204
3,122,tun32,PR+20 (MP32),2049,1153.72275657271
3,122,tun32,PR+20 (MP32),2050,980.664343091559
1,130,tun32,PR+20 (MP32),2026,1177.24999999863
1,130,tun32,PR+20 (MP32),2027,1000.66249980315
1,130,tun32,PR+20 (MP32),2028,850.563122590125
1,130,tun32,PR+20 (MP32),2029,722.978650793755
1,130,tun32,PR+20 (MP32),2030,776.105422706209
1,130,tun32,PR+20 (MP32),2031,931.326503052567
1,130,tun32,PR+20 (MP32),2032,1117.59178563007
1,130,tun32,PR+20 (MP32),2033,1341.1101787212
1,130,tun32,PR+20 (MP32),2034,1609.33221446543
1,130,tun32,PR+20 (MP32),2035,1847.92920277617
1,130,tun32,PR+20 (MP32),2036,1790.49212811559
1,130,tun32,PR+20 (MP32),2037,1856.74740755031
1,130,tun32,PR+20 (MP32),2038,1888.13433344045
1,130,tun32,PR+20 (MP32),2039,1950.97881893537
1,130,tun32,PR+20 (MP32),2040,1810.38054825132
1,130,tun32,PR+20 (MP32),2041,1578.53017862519
1,130,tun32,PR+20 (MP32),2042,1554.54249788429
1,130,tun32,PR+20 (MP32),2043,1485.83555462409
1,130,tun32,PR+20 (MP32),2044,1262.96022169721
1,130,tun32,PR+20 (MP32),2045,1073.51618845146
1,130,tun32,PR+20 (MP32),2046,912.488760183735
1,130,tun32,PR+20 (MP32),2047,775.615446049606
1,130,tun32,PR+20 (MP32),2048,659.273129232229
1,130,tun32,PR+20 (MP32),2049,553.116093068114
1,130,tun32,PR+20 (MP32),2050,1.00921224135514e-05
4,308,tun32,PR+20 (MP32),2026,1177.24999999979
4,308,tun32,PR+20 (MP32),2027,1000.6624992889
4,308,tun32,PR+20 (MP32),2028,1049.43500035695
4,308,tun32,PR+20 (MP32),2029,1259.32196758759
4,308,tun32,PR+20 (MP32),2030,1511.18638758277
4,308,tun32,PR+20 (MP32),2031,1535.44825838557
4,308,tun32,PR+20 (MP32),2032,1506.55663456847
4,308,tun32,PR+20 (MP32),2033,1335.66693201324
4,308,tun32,PR+20 (MP32),2034,1135.31689226469
4,308,tun32,PR+20 (MP32),2035,965.019358430426
4,308,tun32,PR+20 (MP32),2036,820.266454604779
4,308,tun32,PR+20 (MP32),2037,697.226486465983
4,308,tun32,PR+20 (MP32),2038,540.837168117434
4,308,tun32,PR+20 (MP32),2039,5.72435227755074e-05
4,308,tun32,PR+20 (MP32),2040,1.00907221635395e-05
4,308,tun32,PR+20 (MP32),2041,1.00357551723767e-05
4,308,tun32,PR+20 (MP32),2042,1.00500219326578e-05
4,308,tun32,PR+20 (MP32),2043,1.01026759409621e-05
4,308,tun32,PR+20 (MP32),2044,1.01262924093566e-05
4,308,tun32,PR+20 (MP32),2045,1.00914051043752e-05
4,308,tun32,PR+20 (MP32),2046,1.01003229189551e-05
4,308,tun32,PR+20 (MP32),2047,1.01218499310376e-05
4,308,tun32,PR+20 (MP32),2048,1.01257299815863e-05
4,308,tun32,PR+20 (MP32),2049,1.01169755544585e-05
4,308,tun32,PR+20 (MP32),2050,1.01000815556884e-05
2,100,tun43,HS-20 (MP43),2026,1255.13992154165
2,100,tun43,HS-20 (MP43),2027,1206.20559703704
2,100,tun43,HS-20 (MP43),2028,1007.19272310809
2,100,tun43,HS-20 (MP43),2029,1158.27163202508
2,100,tun43,HS-20 (MP43),2030,1332.0123785784
2,100,tun43,HS-20 (MP43),2031,1355.03709560001
2,100,tun43,HS-20 (MP43),2032,1084.02967632821
2,100,tun43,HS-20 (MP43),2033,920.869214975886
2,100,tun43,HS-20 (MP43),2034,968.51750810631
2,100,tun43,HS-20 (MP43),2035,838.05179765652
2,100,tun43,HS-20 (MP43),2036,682.71620027967
2,100,tun43,HS-20 (MP43),2037,546.172960206749
2,100,tun43,HS-20 (MP43),2038,436.938368179523
2,100,tun43,HS-20 (MP43),2039,352.975224092041
2,100,tun43,HS-20 (MP43),2040,405.921512012258
2,100,tun43,HS-20 (MP43),2041,466.80973881407
2,100,tun43,HS-20 (MP43),2042,536.831199622888
2,100,tun43,HS-20 (MP43),2043,617.355879468409
2,100,tun43,HS-20 (MP43),2044,709.959260458469
2,100,tun43,HS-20 (MP43),2045,816.453148442358
2,100,tun43,HS-20 (MP43),2046,938.921118650233
2,100,tun43,HS-20 (MP43),2047,1079.7592820601
2,100,tun43,HS-20 (MP43),2048,1241.72316959242
2,100,tun43,HS-20 (MP43),2049,1427.98164377219
2,100,tun43,HS-20 (MP43),2050,1642.17888239896
3,122,tun43,HS-20 (MP43),2026,1255.14057783498
3,122,tun43,HS-20 (MP43),2027,1206.20587976869
3,122,tun43,HS-20 (MP43),2028,1185.5549579679
3,122,tun43,HS-20 (MP43),2029,1363.38820206287
3,122,tun43,HS-20 (MP43),2030,1486.38007225419
3,122,tun43,HS-20 (MP43),2031,1548.24232530652
3,122,tun43,HS-20 (MP43),2032,1244.55839426361
3,122,tun43,HS-20 (MP43),2033,1087.83234764266
3,122,tun43,HS-20 (MP43),2034,1234.0689772107
3,122,tun43,HS-20 (MP43),2035,1389.98640621432
3,122,tun43,HS-20 (MP43),2036,1315.98928789046
3,122,tun43,HS-20 (MP43),2037,1052.79143028876
3,122,tun43,HS-20 (MP43),2038,981.077043959647
3,122,tun43,HS-20 (MP43),2039,943.584770079286
3,122,tun43,HS-20 (MP43),2040,1079.82630862948
3,122,tun43,HS-20 (MP43),2041,1241.80025492421
3,122,tun43,HS-20 (MP43),2042,1428.07029315134
3,122,tun43,HS-20 (MP43),2043,1642.28083713729
3,122,tun43,HS-20 (MP43),2044,1888.62296270794
3,122,tun43,HS-20 (MP43),2045,1571.32072062161
3,122,tun43,HS-20 (MP43),2046,1521.75051907182
3,122,tun43,HS-20 (MP43),2047,1404.13283026294
3,122,tun43,HS-20 (MP43),2048,1123.3062627354
3,122,tun43,HS-20 (MP43),2049,898.645011368282
3,122,tun43,HS-20 (MP43),2050,908.616127812715
1,130,tun43,HS-20 (MP43),2026,1255.14036264638
1,130,tun43,HS-20 (MP43),2027,1206.20510014173
1,130,tun43,HS-20 (MP43),2028,974.563262212855
1,130,tun43,HS-20 (MP43),2029,1051.58103566774
1,130,tun43,HS-20 (MP43),2030,1209.31819110174
1,130,tun43,HS-20 (MP43),2031,1388.04738197232
1,130,tun43,HS-20 (MP43),2032,1461.27013165576
1,130,tun43,HS-20 (MP43),2033,1680.46064876345
1,130,tun43,HS-20 (MP43),2034,1710.96710311995
1,130,tun43,HS-20 (MP43),2035,1931.92841540296
1,130,tun43,HS-20 (MP43),2036,1760.6410543274
1,130,tun43,HS-20 (MP43),2037,1875.17022540315
1,130,tun43,HS-20 (MP43),2038,1959.75447416575
1,130,tun43,HS-20 (MP43),2039,1999.9999984532
1,130,tun43,HS-20 (MP43),2040,1881.19159856385
1,130,tun43,HS-20 (MP43),2041,1504.95328009879
1,130,tun43,HS-20 (MP43),2042,1368.17233348646
1,130,tun43,HS-20 (MP43),2043,1175.38024440424
1,130,tun43,HS-20 (MP43),2044,987.81131436629
1,130,tun43,HS-20 (MP43),2045,790.249051493014
1,130,tun43,HS-20 (MP43),2046,632.199241146373
1,130,tun43,HS-20 (MP43),2047,505.759392955541
1,130,tun43,HS-20 (MP43),2048,269.771812616209
1,130,tun43,HS-20 (MP43),2049,1.00971566489866e-05
1,130,tun43,HS-20 (MP43),2050,1.00921224135514e-05
4,308,tun43,HS-20 (MP43),2026,1255.13985989926
