mp,statistic,metric,value,display_value,direction,relative_badness,relative_preference,metric_min,metric_max,years,summary
PRsym (MP46),IACC,IACC,9.66955451790976,9.7,lower is better,0.888672050179557,0.111327949820443,3.26995301199252,10.4712614188724,2041-2050,Median across iteration-specific 2041-2050 means
PR-30 (MP48),IACC,IACC,10.4712614188724,10.5,lower is better,1,0,3.26995301199252,10.4712614188724,2041-2050,Median across iteration-specific 2041-2050 means
HS+20 (MP29),VB2025,VB / VB[2025],4.78859506768834,4.79,higher is better,0.507374533837074,0.492625466162926,4.6280451318954,4.95395182332869,2041-2050,Median across iteration-specific 2041-2050 means
HS-20 (MP43),VB2025,VB / VB[2025],4.6280451318954,4.63,higher is better,1,0,4.6280451318954,4.95395182332869,2041-2050,Median across iteration-specific 2041-2050 means
HSsym (MP45),VB2025,VB / VB[2025],4.8137255090581,4.81,higher is better,0.430265219943458,0.569734780056542,4.6280451318954,4.95395182332869,2041-2050,Median across iteration-specific 2041-2050 means
HS-30 (MP47),VB2025,VB / VB[2025],4.68641110295119,4.69,higher is better,0.820912019943183,0.179087980056817,4.6280451318954,4.95395182332869,2041-2050,Median across iteration-specific 2041-2050 means
PR+20 (MP32),VB2025,VB / VB[2025],4.76976770780754,4.77,higher is better,0.565143706350846,0.434856293649154,4.6280451318954,4.95395182332869,2041-2050,Median across iteration-specific 2041-2050 means
PR-20 (MP44),VB2025,VB / VB[2025],4.88840245746072,4.89,higher is better,0.201129242175719,0.798870757824281,4.6280451318954,4.95395182332869,2041-2050,Median across iteration-specific 2041-2050 means
PRsym (MP46),VB2025,VB / VB[2025],4.95395182332869,4.95,higher is better,0,1,4.6280451318954,4.95395182332869,2041-2050,Median across iteration-specific 2041-2050 means
PR-30 (MP48),VB2025,VB / VB[2025],4.69162238748271,4.69,higher is better,0.804921907839015,0.195078092160985,4.6280451318954,4.95395182332869,2041-2050,Median across iteration-specific 2041-2050 means
HS+20 (MP29),VBMSY,VB / VB[MSY],0.802133759196333,0.80,higher is better,0.235432394892783,0.764567605107217,0.75965763874634,0.815213380535892,2041-2050,Median across iteration-specific 2041-2050 means
HS-20 (MP43),VBMSY,VB / VB[MSY],0.75965763874634,0.76,higher is better,1,0,0.75965763874634,0.815213380535892,2041-2050,Median across iteration-specific 2041-2050 means
