biol,mp,catch,catch_lower,catch_upper,vbmsy,vbmsy_lower,vbmsy_upper,n
CJM,MP29,1394.47222235026,1046.68262064415,1703.537421486,0.661318493927831,0.307742014463484,1.61603660832324,2500
CJM,MP43,1393.37948846018,1046.48410516744,1700.56315613517,0.66625939936622,0.309263355574446,1.61761659824955,2500
CJM,MP45,1394.47222235026,1046.68262064415,1703.537421486,0.661318493927831,0.307742014463484,1.61603660832324,2500
CJM,MP47,1393.0202691874,1046.43468234961,1699.76828481053,0.667539396877396,0.310259347091189,1.61761659824955,2500
CJM,MP32,1213.28651301519,819.318239315967,1602.4660099658,0.763450961666639,0.37161918783953,1.75015059976593,2500
CJM,MP44,1144.00932301413,792.527287790148,1476.77079200771,0.806991112408483,0.391466441826936,1.81029587746808,2500
CJM,MP46,1146.60946882728,811.722099652554,1498.70894244517,0.776735817271894,0.373276498650307,1.77951122178848,2500
CJM,MP48,1208.09696029264,846.118077592515,1505.57756556292,0.814215050299023,0.398776490821626,1.80136840755386,2500
North,MP29,268.819221130931,208.996532130158,317.541163463557,0.431500916968778,0.157081610651835,0.693339804273037,2000
North,MP43,265.815573752787,208.991625060999,310.616515045139,0.433630699794572,0.161818785592918,0.695229993541876,2000
North,MP45,266.25781002982,209.201701705322,311.550940291097,0.433257626268176,0.161225405399454,0.694709579043287,2000
North,MP47,268.004410464259,208.870901052118,316.03237108363,0.43197449032972,0.157625586004065,0.694073224515849,2000
North,MP32,245.904326936391,185.619029281622,296.887731224107,0.446810008581562,0.186488460370559,0.707771488864008,2000
North,MP44,231.116460179066,178.816744555382,284.30802481552,0.454336078183192,0.20971676907755,0.720111334642023,2000
North,MP46,240.692808539995,179.721572809576,290.511090622322,0.450406549082106,0.191342911626899,0.713437414577128,2000
North,MP48,244.783915638929,192.442201241244,287.0843685868,0.449789877734709,0.211544854569228,0.715076688684731,2000
Southern,MP29,1198.6749843255,981.005326630272,1376.74340525552,0.826383276753338,0.451850501445062,1.62614102160432,2000
Southern,MP43,1181.47550748387,973.873377516199,1348.24767276206,0.836830806470354,0.459584787541918,1.65041283558543,2000
Southern,MP45,1183.73006302926,975.900434738655,1351.18675847672,0.833150516299445,0.457006672011933,1.64380710258596,2000
Southern,MP47,1194.17311643208,980.038072897092,1374.48885159694,0.828968075707335,0.454685388577409,1.63382829700604,2000
Southern,MP32,1090.13075992649,813.72675683246,1315.22065319825,0.904045357699916,0.504671863462264,1.78854685738039,2000
Southern,MP44,1008.62337819375,772.106284697207,1235.75630578234,0.945723520945612,0.539823994231248,1.87667815721337,2000
Southern,MP46,1067.28669491151,774.7508663477,1283.92648198352,0.916074938042371,0.51710365845074,1.82269037162595,2000
Southern,MP48,1081.21989865537,843.92945312002,1259.95649279155,0.941425010973109,0.537075290719005,1.8787058907556,2000
