biol,mp,catch,catch_lower,catch_upper,vb2025,vb2025_lower,vb2025_upper,n
CJM,MP29,1381.13833313099,652.736217619832,2040.42562978078,3.21336079073672,0.949289744480573,12.5287561692844,500
CJM,MP43,1310.90613843692,740.155494908178,2029.59260323226,4.47442304581872,1.53895123784535,14.4352278041449,500
CJM,MP45,1310.37386074463,748.51749851647,2029.59260323014,4.31924506245291,1.51512267011931,13.8218387616837,500
CJM,MP47,1312.9929592021,745.630251060747,2029.34539573411,4.31672841696283,1.53639622843129,13.7739786713748,500
CJM,MP32,1358.04370666623,519.280366178279,2372.92949556366,3.44147440053952,1.18008039148435,9.3795014890884,500
CJM,MP44,1324.56630786258,564.974753983241,2300.89201797513,4.77053046684488,1.73940144455051,13.4986272099232,500
CJM,MP46,1331.6280085157,571.29523860501,2250.36846211887,4.55598748721415,1.71747362485653,13.0002970933019,500
CJM,MP48,1274.56939982974,562.669221954558,2255.0500189767,4.5036317404771,1.82746266769352,12.2937456289214,500
North,MP29,78.6887240968741,1.51866566665535e-05,306.120772054459,0.102480058655962,6.26681068255741e-09,3.99414735507889,400
North,MP43,210.723717436163,1.51866566665772e-05,306.203286598756,1.18446836209589,6.81716435669772e-09,5.55744915319791,400
North,MP45,208.965129802921,1.51866566665562e-05,306.359069404253,1.1371866117458,6.71898292316979e-09,5.33397957753203,400
North,MP47,212.048658538934,1.51866566665562e-05,305.646645590539,1.18044508586419,6.77873717352651e-09,5.600976913705,400
North,MP32,126.430744198232,1.51866566665535e-05,314.134689447738,0.175471446944184,6.26681068255741e-09,4.19070843277703,400
North,MP44,191.957677724207,1.51866566665822e-05,326.598004380064,1.38694149046654,7.45424537075048e-09,5.83393836336499,400
North,MP46,190.897375797171,1.51866566665777e-05,320.442261988035,1.29345780607242,7.16005723298917e-09,5.69959024039883,400
North,MP48,192.865564540656,1.51866566665777e-05,321.594822104623,1.3539073121718,6.96147571749798e-09,6.21428490429126,400
Southern,MP29,1131.65755342717,792.163941265842,1665.47529400264,2.37504345318155,1.25919416845169,4.26707984815834,400
Southern,MP43,1063.39871050596,755.62360163381,1568.44693284337,3.24991365528717,1.63873590521091,5.50346738275131,400
Southern,MP45,1063.4597525724,755.315435017226,1567.98657336364,3.25659155421388,1.63169172917763,5.52197234027913,400
Southern,MP47,1060.60937866517,756.993980158807,1567.17826910879,3.25978457387036,1.6316105384374,5.51774760789826,400
Southern,MP32,1113.67054948005,698.295215692543,1665.77025101759,2.52440580767694,1.3739567669825,4.35190761294888,400
Southern,MP44,1034.7625936358,615.830523164635,1588.95498834145,3.25902591175981,1.68946376262121,5.43809543693088,400
Southern,MP46,1039.31263717895,620.567133997856,1577.05305078817,3.2856011483424,1.70794514651285,5.47440725460316,400
Southern,MP48,1035.89077717493,644.403173621116,1568.97480246954,3.25962590995047,1.71945443508855,5.35248469454947,400
