scenario,cmp,period,iter,mean_sb_sbmsy
Reference OM,HS+20,Near term (2026–2035),189,1.34862152668272
Reference OM,HS+20,Near term (2026–2035),190,1.21854340434945
Reference OM,HS+20,Near term (2026–2035),191,1.04855403136066
Reference OM,HS+20,Near term (2026–2035),192,1.67925715223661
Reference OM,HS+20,Near term (2026–2035),193,1.24719195700285
Reference OM,HS+20,Near term (2026–2035),194,1.69757806200308
Reference OM,HS+20,Near term (2026–2035),195,1.10215740862076
Reference OM,HS+20,Near term (2026–2035),196,1.21372315855533
Reference OM,HS+20,Near term (2026–2035),197,0.790607517506796
Reference OM,HS+20,Near term (2026–2035),198,1.53891702746044
Reference OM,HS+20,Near term (2026–2035),199,1.05819922495408
Reference OM,HS+20,Long term (2041–2050),100,0.748244583400109
Reference OM,HS+20,Long term (2041–2050),101,1.53358616385755
Reference OM,HS+20,Long term (2041–2050),102,1.04667061844975
Reference OM,HS+20,Long term (2041–2050),103,1.38608776967996
Reference OM,HS+20,Long term (2041–2050),104,1.02776094857533
Reference OM,HS+20,Long term (2041–2050),105,2.40738296973613
Reference OM,HS+20,Long term (2041–2050),106,1.32602438963199
Reference OM,HS+20,Long term (2041–2050),107,1.34684354253256
Reference OM,HS+20,Long term (2041–2050),108,0.879210768582207
Reference OM,HS+20,Long term (2041–2050),109,1.08587556966074
Reference OM,HS+20,Long term (2041–2050),110,0.631066785291614
Reference OM,HS+20,Long term (2041–2050),111,0.962247768329728
Reference OM,HS+20,Long term (2041–2050),112,2.32612690290054
Reference OM,HS+20,Long term (2041–2050),113,1.65450476926106
Reference OM,HS+20,Long term (2041–2050),114,1.72947426172252
Reference OM,HS+20,Long term (2041–2050),115,1.54759684769757
Reference OM,HS+20,Long term (2041–2050),116,1.77482731767103
Reference OM,HS+20,Long term (2041–2050),117,1.18172689064775
Reference OM,HS+20,Long term (2041–2050),118,1.67078382901794
Reference OM,HS+20,Long term (2041–2050),119,1.07856816874849
Reference OM,HS+20,Long term (2041–2050),120,1.35333837248698
Reference OM,HS+20,Long term (2041–2050),121,1.71948840565611
Reference OM,HS+20,Long term (2041–2050),122,1.62429364959585
Reference OM,HS+20,Long term (2041–2050),123,0.846777183430864
Reference OM,HS+20,Long term (2041–2050),124,0.963048775067907
Reference OM,HS+20,Long term (2041–2050),125,1.16807745766463
Reference OM,HS+20,Long term (2041–2050),126,0.536159424942472
Reference OM,HS+20,Long term (2041–2050),127,2.26246524464489
Reference OM,HS+20,Long term (2041–2050),128,0.934575967976358
Reference OM,HS+20,Long term (2041–2050),129,1.40719590471033
Reference OM,HS+20,Long term (2041–2050),130,1.9622907696613
Reference OM,HS+20,Long term (2041–2050),131,1.3263653126362
Reference OM,HS+20,Long term (2041–2050),132,1.84106270505262
Reference OM,HS+20,Long term (2041–2050),133,1.10819648495278
Reference OM,HS+20,Long term (2041–2050),134,1.43533752467245
Reference OM,HS+20,Long term (2041–2050),135,1.78590083613226
Reference OM,HS+20,Long term (2041–2050),136,0.802626870659472
Reference OM,HS+20,Long term (2041–2050),137,2.51120689044033
Reference OM,HS+20,Long term (2041–2050),138,1.15931852153284
Reference OM,HS+20,Long term (2041–2050),139,1.39233867294249
Reference OM,HS+20,Long term (2041–2050),140,1.33992925998263
Reference OM,HS+20,Long term (2041–2050),141,1.24764417335649
Reference OM,HS+20,Long term (2041–2050),142,2.15180004322482
Reference OM,HS+20,Long term (2041–2050),143,1.42079402382434
Reference OM,HS+20,Long term (2041–2050),144,1.07987571341589
Reference OM,HS+20,Long term (2041–2050),145,0.940846792975589
Reference OM,HS+20,Long term (2041–2050),146,1.46303258770066
Reference OM,HS+20,Long term (2041–2050),147,1.38828348342379
Reference OM,HS+20,Long term (2041–2050),148,2.40755440090819
Reference OM,HS+20,Long term (2041–2050),149,1.13219134845805
Reference OM,HS+20,Long term (2041–2050),150,1.64453053887383
Reference OM,HS+20,Long term (2041–2050),151,0.874847191591532
Reference OM,HS+20,Long term (2041–2050),152,1.41518468123589
Reference OM,HS+20,Long term (2041–2050),153,0.818045325194125
Reference OM,HS+20,Long term (2041–2050),154,3.51808493337944
Reference OM,HS+20,Long term (2041–2050),155,1.29118105295786
Reference OM,HS+20,Long term (2041–2050),156,0.955692483994094
Reference OM,HS+20,Long term (2041–2050),157,0.77841719265321
Reference OM,HS+20,Long term (2041–2050),158,1.03531905667833
Reference OM,HS+20,Long term (2041–2050),159,1.86957297937456
Reference OM,HS+20,Long term (2041–2050),160,1.50000637151075
Reference OM,HS+20,Long term (2041–2050),161,0.904798590863854
Reference OM,HS+20,Long term (2041–2050),162,0.968505237140098
Reference OM,HS+20,Long term (2041–2050),163,1.1799453872502
Reference OM,HS+20,Long term (2041–2050),164,1.95611057181662
Reference OM,HS+20,Long term (2041–2050),165,0.766516401289978
Reference OM,HS+20,Long term (2041–2050),166,0.93323067524641
Reference OM,HS+20,Long term (2041–2050),167,2.83614256126264
Reference OM,HS+20,Long term (2041–2050),168,0.761389991012079
Reference OM,HS+20,Long term (2041–2050),169,1.58169741987339
Reference OM,HS+20,Long term (2041–2050),170,1.19896986624351
Reference OM,HS+20,Long term (2041–2050),171,1.14282757460036
Reference OM,HS+20,Long term (2041–2050),172,1.96928518538828
Reference OM,HS+20,Long term (2041–2050),173,1.1924901951483
Reference OM,HS+20,Long term (2041–2050),174,0.938025657839885
Reference OM,HS+20,Long term (2041–2050),175,0.981147309719811
Reference OM,HS+20,Long term (2041–2050),176,2.18440355867366
Reference OM,HS+20,Long term (2041–2050),177,1.62582578404372
Reference OM,HS+20,Long term (2041–2050),178,1.32099848460478
Reference OM,HS+20,Long term (2041–2050),179,1.41867358708171
Reference OM,HS+20,Long term (2041–2050),180,1.50119336996799
Reference OM,HS+20,Long term (2041–2050),181,2.02844615077617
Reference OM,HS+20,Long term (2041–2050),182,2.2985541462225
Reference OM,HS+20,Long term (2041–2050),183,0.566125456765171
Reference OM,HS+20,Long term (2041–2050),184,0.64688701923766
Reference OM,HS+20,Long term (2041–2050),185,0.979263083807473
Reference OM,HS+20,Long term (2041–2050),186,0.594833175886011
Reference OM,HS+20,Long term (2041–2050),187,1.26224739486828
Reference OM,HS+20,Long term (2041–2050),188,1.33263284621829
Reference OM,HS+20,Long term (2041–2050),189,0.956379196751929
Reference OM,HS+20,Long term (2041–2050),190,2.03055309712162
Reference OM,HS+20,Long term (2041–2050),191,0.659474702522726
Reference OM,HS+20,Long term (2041–2050),192,0.806324482563593
Reference OM,HS+20,Long term (2041–2050),193,0.926362721934555
