"index","Chile_AcousN","Chile_CPUE","Peru_Artis","Peru_Ind","Offshore_CPUE"
"Chile_AcousN",1,0.32937019902133,0.379321121897564,-0.135574330826983,-0.148377148540542
"Chile_CPUE",0.32937019902133,1,-0.091551318612371,0.0375105849193282,-0.0639098299857436
"Peru_Artis",0.379321121897564,-0.091551318612371,1,0.539033772877097,-0.140731964334219
"Peru_Ind",-0.135574330826983,0.0375105849193282,0.539033772877097,1,0.0100990789222111
"Offshore_CPUE",-0.148377148540542,-0.0639098299857436,-0.140731964334219,0.0100990789222111,1
