mp_code,mp,short_label,family,display,om,biol,catch_mean,catch_q10,catch_q90,sb_mean,sb_q10,sb_q90,iacc_mean,iacc_q10,iacc_q90,n_replicates,om_panel
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h1_0.16,CJM,1178.17843526753,1100.47137765441,1268.93923782008,1.52630997839554,0.797079037780799,2.25065357494073,4.68606531442019,1.43673963381628,9.15884572633229,100,Reference (om11)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h1_0.16,CJM,954.963888945019,903.847639445381,1012.43062157032,1.77557889236294,1.01173051706351,2.5721567110852,5.08059340140652,2.29625319703407,8.57279837199978,100,Reference (om11)
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h1_0.16,CJM,994.282413929078,948.708304560397,1044.144600975,1.77159686772186,1.0131922135931,2.56762343394379,5.16094714117009,2.52667458849787,8.80229390402729,100,Reference (om11)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h1_0.16,CJM,923.562586396862,868.695160715582,986.167346557922,1.76439340382876,1.00894411048867,2.54554837725672,4.96539969029937,2.08545639835321,8.40846300329765,100,Reference (om11)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h1_0.16,CJM,1041.69280073105,937.86271789408,1169.96262706473,1.52106066659189,0.797600840330446,2.25760807692288,5.7889963433974,2.24172982652125,11.0182549019323,100,Reference (om11)
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h1_0.16,CJM,816.575354386025,777.290612487047,871.179725133925,1.89767095696129,1.05633017932097,2.69355102625302,9.67952788908661,4.7304870315985,14.5818829893305,100,Reference (om11)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h1_0.16,CJM,910.99154851812,885.72944503088,938.935761062196,1.87577040991632,1.07207597229743,2.66526162228709,9.35658703575095,4.06095852335423,14.6046677055282,100,Reference (om11)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h1_0.16,CJM,716.653855571912,660.289471131733,784.537702416626,1.79297433738127,1.01716638368726,2.5566044004986,7.052249828024,2.60530885666447,13.3594670798188,100,Reference (om11)
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h1_0.16_selex,CJM,1200.99800131082,1123.09985848806,1294.32727745714,1.25984167248768,0.528943119918945,1.96360591183871,4.53412201847911,1.08293033202353,9.43091129254055,100,Alt. selectivity (om11_1)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h1_0.16_selex,CJM,967.834243565743,917.519495447363,1024.26186180993,1.5394693075333,0.788625804831928,2.20701409885443,4.62519509177008,1.42992858099062,8.40807161676714,100,Alt. selectivity (om11_1)
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h1_0.16_selex,CJM,1007.65842491361,963.63341622196,1060.7427175233,1.53371493542856,0.791094485924161,2.19571869314995,4.68107387903894,1.22657403565245,8.55644889840853,100,Alt. selectivity (om11_1)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h1_0.16_selex,CJM,938.241299369164,883.997967391942,1005.30486009795,1.51894286255065,0.785846940830289,2.16116336665293,4.55953078259437,1.46762161490925,8.37342814259212,100,Alt. selectivity (om11_1)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h1_0.16_selex,CJM,1061.05127075828,962.564830042965,1179.1652972006,1.23453513580345,0.563161281987871,1.84358898961559,5.68337151825384,2.20944900497941,10.5310287276981,100,Alt. selectivity (om11_1)
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h1_0.16_selex,CJM,827.337606188379,787.377894708269,885.962471103517,1.7077260776046,0.8956841465659,2.43577329232452,9.77800442799834,5.30600249053111,14.6046678933884,100,Alt. selectivity (om11_1)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h1_0.16_selex,CJM,921.142250856741,889.414343662228,944.899785233592,1.65192068349913,0.835672808441351,2.30324504463765,8.81687529817018,3.6013823284065,13.644022746183,100,Alt. selectivity (om11_1)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h1_0.16_selex,CJM,725.522793890874,671.941825050447,792.706705681253,1.58129436331302,0.827865387601801,2.2254193352877,7.02413249638736,2.60494063607657,13.5095340173905,100,Alt. selectivity (om11_1)
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h1_0.16_lowrec,CJM,1175.25074971638,1094.57376591567,1260.72740849712,0.96541264333094,0.615827672345682,1.48125555015431,5.87469844691911,1.61926330398676,10.5086988688807,100,Recruitment crash (om11_2)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h1_0.16_lowrec,CJM,953.30981446028,902.894243925877,1006.25761050044,1.21223980138421,0.83985114843206,1.70548405148005,5.60089120913687,2.32345470930811,9.42510200866661,100,Recruitment crash (om11_2)
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h1_0.16_lowrec,CJM,992.495052260181,949.929099889563,1038.912544258,1.20914900036779,0.836785761089864,1.69267573862703,5.6206082586436,2.34211930140959,9.29376982148696,100,Recruitment crash (om11_2)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h1_0.16_lowrec,CJM,921.582836886382,866.028964854165,980.397538729572,1.20055007387345,0.833431332016612,1.65234484723744,5.4819420259528,2.10633901629281,9.58068309179641,100,Recruitment crash (om11_2)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h1_0.16_lowrec,CJM,1037.67894206939,935.27593819426,1153.86383716779,0.986589900254915,0.615941116722319,1.41300554575623,7.05605213694835,2.90377946650719,12.940786723824,100,Recruitment crash (om11_2)
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h1_0.16_lowrec,CJM,815.349075018086,777.048330140835,871.05916973862,1.34202882552201,0.897246122386307,1.92816721639384,10.4896418758532,5.93314262589715,14.6464057370932,100,Recruitment crash (om11_2)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h1_0.16_lowrec,CJM,909.136974426683,883.647862081251,938.153595817881,1.32400173758752,0.932980253450498,1.79860191339831,9.55729935017336,5.54281852378523,14.1824965021597,100,Recruitment crash (om11_2)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h1_0.16_lowrec,CJM,714.999644226946,654.244996490876,778.571109201427,1.24121331677604,0.835155663658842,1.76698559872357,8.79528569726642,3.2408915344086,16.1229200825332,100,Recruitment crash (om11_2)
tun29,MP29,HS+20,Hockey-stick,HS+20 (MP29),h1_0.16_cycle,CJM,1165.76277522175,1093.33213411681,1244.48010001114,1.08899489177236,0.636078773707682,1.6650616101521,5.80979773505018,2.46239468547069,10.4612419240899,100,Cyclic recruitment (om11_3)
tun43,MP43,HS-20,Hockey-stick,HS-20 (MP43),h1_0.16_cycle,CJM,947.648106652194,899.430541091035,1001.29888895719,1.33293184658405,0.830996800470135,1.94343862649194,5.33405892958997,2.32193861244713,9.13648098477964,100,Cyclic recruitment (om11_3)
tun45,MP45,HSsym,Hockey-stick,HSsym (MP45),h1_0.16_cycle,CJM,987.177450326765,944.849438353406,1031.9930129077,1.33002370775804,0.828280076703484,1.9428832270173,5.33469432036852,2.32071382080994,8.93592018659996,100,Cyclic recruitment (om11_3)
tun47,MP47,HS-30,Hockey-stick,HS-30 (MP47),h1_0.16_cycle,CJM,915.237774678794,863.675595816114,974.708312445224,1.3258456344082,0.825963571841924,1.94375631201622,5.31760790995482,2.32676916904131,9.24674359983089,100,Cyclic recruitment (om11_3)
tun32,MP32,PR+20,Power ramp,PR+20 (MP32),h1_0.16_cycle,CJM,1029.31819991586,935.44584058938,1143.7246299969,1.11013802404717,0.676495139208056,1.6831925604586,7.25359871051926,2.54079589041337,13.931233893301,100,Cyclic recruitment (om11_3)
tun44,MP44,PR-20,Power ramp,PR-20 (MP44),h1_0.16_cycle,CJM,811.188767889996,773.506071133248,857.146711068536,1.42886506307734,0.902055038490527,1.97387758318051,9.7756226358348,5.27781586367386,14.863360875301,100,Cyclic recruitment (om11_3)
tun46,MP46,PRsym,Power ramp,PRsym (MP46),h1_0.16_cycle,CJM,905.059168637945,883.647861926967,935.768324182233,1.42905751029311,0.906942923566142,2.016939600722,9.68178215830847,5.10661953798816,13.8446011046714,100,Cyclic recruitment (om11_3)
tun48,MP48,PR-30,Power ramp,PR-30 (MP48),h1_0.16_cycle,CJM,710.2644081087,654.130363845231,771.287049244987,1.34256948895972,0.866917550684463,1.90889129118368,8.46398224440812,2.73358226798145,16.1996006773021,100,Cyclic recruitment (om11_3)
