biol,mp,catch,catch_lower,catch_upper,vb2025,vb2025_lower,vb2025_upper,n
CJM,MP29,1381.13833313099,652.736217619832,2040.42562978078,3.21336079073672,0.949289744480573,12.5287561692844,500
CJM,MP43,1310.90613843692,740.155494908178,2029.59260323226,4.47442304581872,1.53895123784535,14.4352278041449,500
CJM,MP32,1358.04370666623,519.280366178279,2372.92949556366,3.44147440053952,1.18008039148435,9.3795014890884,500
CJM,MP44,1324.56630786258,564.974753983241,2300.89201797513,4.77053046684488,1.73940144455051,13.4986272099232,500
CJM,MP18,1326.62910537626,614.119856227422,2503.27708886486,3.49184304410086,1.12794266090318,8.48970161670913,500
CJM,MP24,1437.51144013235,523.756650529318,1790.10142998107,2.85531141092623,0.798797998581595,14.443033998003,500
CJM,MP23,1305.45490512012,554.937606048731,2483.83350927414,3.54548892193243,1.14178920484092,8.68653153902015,500
CJM,MP31,1386.00175138503,544.055172269623,2041.28867697417,3.22886167373438,1.07063880073886,12.4253602794722,500
CJM,MP35,1333.66974706585,429.981154977065,2370.68700137457,3.20659513823557,0.660039273265013,8.31734455764775,500
CJM,MP36,1380.7556824964,505.210476726288,2041.28867699986,2.99450245240731,0.726687250337407,12.1964415561912,500
North,MP29,78.6887240968741,1.51866566665535e-05,306.120772054459,0.102480058655962,6.26681068255741e-09,3.99414735507889,400
North,MP43,210.723717436163,1.51866566665772e-05,306.203286598756,1.18446836209589,6.81716435669772e-09,5.55744915319791,400
North,MP32,126.430744198232,1.51866566665535e-05,314.134689447738,0.175471446944184,6.26681068255741e-09,4.19070843277703,400
North,MP44,191.957677724207,1.51866566665822e-05,326.598004380064,1.38694149046654,7.45424537075048e-09,5.83393836336499,400
North,MP18,169.207028023334,1.51866566665562e-05,302.687020183434,0.413642723347086,6.49471051501022e-09,4.40062820831872,400
North,MP24,7.33409173664287,1.51866566665512e-05,321.968912326349,0.0047718494676464,6.24517576393695e-09,3.47176963033754,400
North,MP23,172.777956208868,1.51866566665679e-05,304.681916113145,0.656252865038332,6.59645402786586e-09,4.65047152700153,400
North,MP31,69.688421060112,1.51866566665535e-05,305.593812858623,0.0501328760403497,6.24517576393695e-09,4.04932196023641,400
North,MP35,1.51866566666623e-05,1.51866566665489e-05,307.845322905612,8.53146165433026e-08,6.11847704588475e-09,3.68447718149509,400
North,MP36,1.51866566666599e-05,1.51866566665505e-05,307.888457808322,5.36291603475866e-08,6.20169918805302e-09,3.46779244774601,400
Southern,MP29,1131.65755342717,792.163941265842,1665.47529400264,2.37504345318155,1.25919416845169,4.26707984815834,400
Southern,MP43,1063.39871050596,755.62360163381,1568.44693284337,3.24991365528717,1.63873590521091,5.50346738275131,400
Southern,MP32,1113.67054948005,698.295215692543,1665.77025101759,2.52440580767694,1.3739567669825,4.35190761294888,400
Southern,MP44,1034.7625936358,615.830523164635,1588.95498834145,3.25902591175981,1.68946376262121,5.43809543693088,400
Southern,MP18,1091.89740900454,749.729752636755,1669.24206348393,2.68602678005214,1.42908776314096,4.26847339637688,400
Southern,MP24,1166.20376805932,806.414790893521,1461.92762943411,2.08201060782693,1.14979131109885,4.97433851254719,400
Southern,MP23,1066.32287504321,707.694344823642,1667.54124279609,2.71578830180854,1.45197353741645,4.42946826661911,400
Southern,MP31,1124.39176565628,777.056487872477,1669.97551800165,2.38909136681292,1.29234525462789,4.09010857834886,400
Southern,MP35,1116.21168984803,654.906263566522,1717.52929419277,2.14098260480911,1.14620087010411,3.60249196463852,400
Southern,MP36,1141.22857012639,805.071555717528,1669.97553658131,1.97993905912359,1.08311676355051,3.73059977804974,400
