iter,q25_cmp_iacc,median_cmp_iacc,minimum_cmp_iacc,maximum_cmp_iacc,selection_order,eligibility_q25_iacc_cutoff
130,15.4346891084426,16.1214189016259,12.6242577634637,17.9019512807494,1,11.7867900827122
100,13.9962202755376,14.7108860023909,13.1106243651083,20.7084449297985,2,11.7867900827122
122,11.9554642299319,13.1922939849713,11.2281174261184,16.868591511616,3,11.7867900827122
308,13.9522358193573,14.8105534994085,12.2194598519296,17.0657279999547,4,11.7867900827122
